
央视频,#genre#
福建东南卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=fjdnhz
贵州卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=gzhws
江西卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=jxws
辽宁卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=lnws
安徽卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=ahws
湖北卫视2,ku9://https://cyh92.github.io/live/js/ysp.js?id=hbws2
山东卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=sdws
天津卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=tjws
吉林卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=jlws
山西卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=shanxiws
宁夏卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=nxws
内蒙古卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=nmgws
云南卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=ynws
山西卫视2,ku9://https://cyh92.github.io/live/js/ysp.js?id=shanxiws2
青海卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=qhws
西藏卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=xzws
中国教育电视台一套,ku9://https://cyh92.github.io/live/js/ysp.js?id=cetv1
广西公共,ku9://https://cyh92.github.io/live/js/ysp.js?id=gxpd
新疆卫视,ku9://https://cyh92.github.io/live/js/ysp.js?id=xjws
