咪咕央卫,#genre#
CCTV10科教,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=20251027224613a0a0cb4e5e6044a6b04327a7a12aba9f&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20251027224613&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=106.13.250.88&SecurityKey=20251027224613&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4c4feba7d2dd3a26aac5a0938b07d214&ddCalcu=441ce242df47e00bba873d920dad53caa2a6
CCTV11戏曲,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=20251027224613b9198cb557694c85bad260ab6a2e6529&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20251027224613&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=106.13.250.88&SecurityKey=20251027224613&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=f11ea1fb42af599fe11e005dac885c73&ddCalcu=3f71ec125e78a081cfabd4520a0fe51919ef
CCTV12社会与法,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=202510272246138237f65ac8f74be1aeb49580c5f621c8&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20251027224613&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=106.13.250.88&SecurityKey=20251027224613&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ff7947e6b8aff0dbf2b68355de7a8a9c&ddCalcu=cf9fea72893a4077eed65b583a8f6fb02dfb
CCTV13新闻,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=2025102722461356cdadb0c2ff4520b591409d5ec2de0f&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20251027224613&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=106.13.250.88&SecurityKey=20251027224613&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=48a5852868722fcad7f9b397044c05b7&ddCalcu=74b8e5a2058c80454208769837b292ff7cda
CCTV14少儿,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?msisdn=20251027224613849bb982a45a4f6697957dd675954ab8&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20251027224613&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=106.13.250.88&SecurityKey=20251027224613&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ade492b2e7325d455c232de8eec6441a&ddCalcu=aa1de4e2444690c2ebe28ee7d322352dc455
CCTV15音乐,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/51/index.m3u8?msisdn=20251027224613f9fb74b04b044b52a983e9ab9b848785&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20251027224613&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=106.13.250.88&SecurityKey=20251027224613&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=86dde1afc44d3f6adddf089410514984&ddCalcu=4886e9d24d31e0510a1f4c94840df3dfd6da
CCTV17农业农村,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/51/index.m3u8?msisdn=20251027224613feeb27dda8074da79e4224c9daf95f5a&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20251027224613&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=106.13.250.88&SecurityKey=20251027224613&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=3cb87768a91dbef437262b0ae6e29312&ddCalcu=231ce3b2983270e766e8aa09b12d6b2e7f34
CCTV4欧洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=202510272246134614e9c090e0483cb2ac873703221733&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20251027224613&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=106.13.250.88&SecurityKey=20251027224613&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=002a49216afeaa7abdac8889ba1b7b48&ddCalcu=8040eb227a8b4019a2b1968a8f8ecaaad7ba
CCTV4美洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=20251027224614bcdf6d20ba544d1baa4d2e530b818729&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ea332ec27ca2935f13d97c54ad5c89b0&ddCalcu=0ebae932838c205edca2475cca7299d3351f
CGTN外语纪录,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/doc/1000/index.m3u8?msisdn=202510272246149802157826674eab970c9503f9d1436c&mdspid=&spid=699004&netType=0&sid=2200179356&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006487&ParentNodeID=-99&assertID=2200179356&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=2200179356&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a2520997b2bcf60bf844f62e03d202b2&ddCalcu=2ab2e252029200d93907eb226bfc4f4680fb
