咪咕央卫,#genre#
CCTV10科教,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=20260115080018cf5952385df1489bb8ad8e51062d6fa9&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=9e00e5d227686f2fca0f46ea6924f6b0&ddCalcu=09bee601f044e0259d62a2e76648f60fa2cf
CCTV11戏曲,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=202601150800187dfd45cb1629469b9ae8ef3942831de6&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=15e345fbb55f2cfb08a18ce2c9e43b9f&ddCalcu=f195ebe1337440e59fcb2be5c58f12ac8f0b
CCTV12社会与法,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=20260115080018b73b7aa77a9d4a539d589e4ee51e5dc1&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=1e820bae5f0fc6fb79a87466e3259844&ddCalcu=414ee8819235002b3aee656f407f8ca69f7b
CCTV13新闻,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=2026011508001849a6a00fe45d46848a479d0151a4412c&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=a555e654e81b8692a93f86fcb8c569da&ddCalcu=aad5e9516585e0c685b4cef8618bf83699a2
CCTV14少儿,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?msisdn=202601150800185e4491cd5a604e2f843eee87186fa5d4&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=ae7b5b59200c781c15af229864903114&ddCalcu=4a1ee1713b40509b45698290202cf7a8511c
CCTV15音乐,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/51/index.m3u8?msisdn=20260115080018d351a7e76ce4457e9d891fbb3a8f282d&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=0198619c595dd1d960557f1beda041bb&ddCalcu=b0b1e191483060a1d9ecb519f57d5d510d69
CCTV17农业农村,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/51/index.m3u8?msisdn=2026011508001822489e7097ef4d68bf7c56a6cc844e97&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=a91e50754fe00b83eb303ce2e631c1b2&ddCalcu=2ab9e111ce31503067e524efce30003bb8e3
CCTV4欧洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=2026011508001863be16e2cbd44ae38a38eae4cd4321c3&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=9ff6f528feb68e72d3abbc60a9728f69&ddCalcu=996feff18682f07592a80f6ecbb6b8ae37d2
CCTV4美洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=2026011508001819ff65ec9c364732ac8c355614c77c50&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20260115080018&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=43.139.160.244&SecurityKey=20260115080018&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=2e8e8a5b07745f29f4bcaace08faf9c9&ddCalcu=92cee981fe8a80fa850be0c7a7a4c5bf42f9
CGTN外语纪录,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/doc/1000/index.m3u8?msisdn=2026011508001992f29f2a5a644e84ac63e5ec59c78265&mdspid=&spid=699004&netType=0&sid=2200179356&pid=2028597139&timestamp=20260115080019&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006487&ParentNodeID=-99&assertID=2200179356&client_ip=43.139.160.244&SecurityKey=20260115080019&promotionId=&mvid=2200179356&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=7672b9c54ad44f24cfa17379a9041c89&ddCalcu=9786ec711294b0099ca5947a3d7414aff2c4
